run_number,Version,density,fraction_majority,value_homophily,ethnic_homophily,move_anyway,step,turtles,unhappy,simcolor,simcolorS,simcolorC,simcolorRS,simcolorRC,simcolorGS,simcolorGC,simshape,simshapeS,simshapeC,simshapeRS,simshapeRC,simshapeGS,simshapeGC,numnei,numneiS,numneiC,numneiRS,numneiGS,numneiRC,numneiGC
505,Original_Schelling,70,90,0,60,0,94,1824,0,0.98,0.98,NA,0.99,NA,0.9,NA,1,1,NA,1,NA,1,NA,0.72,0.72,NA,0.73,0.67,NA,NA
506,Original_Schelling,70,90,0,60,0,84,1795,0,0.98,0.98,NA,0.99,NA,0.93,NA,1,1,NA,1,NA,1,NA,0.72,0.72,NA,0.73,0.62,NA,NA
507,Original_Schelling,70,90,0,60,0,169,1806,0,0.99,0.99,NA,0.99,NA,0.93,NA,1,1,NA,1,NA,1,NA,0.72,0.72,NA,0.72,0.69,NA,NA
508,Original_Schelling,70,90,0,60,0,159,1831,0,0.98,0.98,NA,0.99,NA,0.92,NA,1,1,NA,1,NA,1,NA,0.74,0.74,NA,0.74,0.71,NA,NA
509,Original_Schelling,70,90,0,60,0,171,1814,0,0.98,0.98,NA,0.99,NA,0.91,NA,1,1,NA,1,NA,1,NA,0.72,0.72,NA,0.73,0.67,NA,NA
510,Original_Schelling,70,90,0,60,0,158,1812,0,0.98,0.98,NA,0.99,NA,0.92,NA,1,1,NA,1,NA,1,NA,0.73,0.73,NA,0.73,0.66,NA,NA
511,Original_Schelling,70,90,0,70,0,74,1861,0,1,1,NA,1,NA,0.99,NA,1,1,NA,1,NA,1,NA,0.81,0.81,NA,0.84,0.57,NA,NA
512,Original_Schelling,70,90,0,70,0,80,1818,0,1,1,NA,1,NA,0.99,NA,1,1,NA,1,NA,1,NA,0.79,0.79,NA,0.82,0.47,NA,NA
513,Original_Schelling,70,90,0,70,0,51,1788,0,1,1,NA,1,NA,0.99,NA,1,1,NA,1,NA,1,NA,0.78,0.78,NA,0.82,0.48,NA,NA
514,Original_Schelling,70,90,0,70,0,62,1822,0,1,1,NA,1,NA,0.98,NA,1,1,NA,1,NA,1,NA,0.8,0.8,NA,0.83,0.54,NA,NA
515,Original_Schelling,70,90,0,70,0,73,1818,0,1,1,NA,1,NA,0.99,NA,1,1,NA,1,NA,1,NA,0.79,0.79,NA,0.82,0.57,NA,NA
516,Original_Schelling,70,90,0,70,0,62,1806,0,1,1,NA,1,NA,0.99,NA,1,1,NA,1,NA,1,NA,0.78,0.78,NA,0.81,0.49,NA,NA
517,Original_Schelling,70,90,0,70,0,104,1805,0,1,1,NA,1,NA,0.98,NA,1,1,NA,1,NA,1,NA,0.78,0.78,NA,0.81,0.54,NA,NA
518,Original_Schelling,70,90,0,70,0,61,1815,0,1,1,NA,1,NA,0.98,NA,1,1,NA,1,NA,1,NA,0.79,0.79,NA,0.82,0.5,NA,NA
519,Original_Schelling,70,90,0,70,0,60,1831,0,1,1,NA,1,NA,0.99,NA,1,1,NA,1,NA,1,NA,0.79,0.79,NA,0.82,0.55,NA,NA
520,Original_Schelling,70,90,0,70,0,69,1840,0,1,1,NA,1,NA,0.99,NA,1,1,NA,1,NA,1,NA,0.8,0.8,NA,0.83,0.51,NA,NA
521,Original_Schelling,70,90,0,80,0,169,1850,0,1,1,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,0.87,0.87,NA,0.9,0.54,NA,NA
522,Original_Schelling,70,90,0,80,0,147,1794,0,1,1,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,0.85,0.85,NA,0.9,0.44,NA,NA
523,Original_Schelling,70,90,0,80,0,147,1834,0,1,1,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,0.87,0.87,NA,0.91,0.52,NA,NA
524,Original_Schelling,70,90,0,80,0,148,1802,0,1,1,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,0.85,0.85,NA,0.9,0.48,NA,NA
525,Original_Schelling,70,90,0,80,0,180,1855,0,1,1,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,0.87,0.87,NA,0.91,0.53,NA,NA
526,Original_Schelling,70,90,0,80,0,154,1817,0,1,1,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,0.85,0.85,NA,0.89,0.52,NA,NA
527,Original_Schelling,70,90,0,80,0,152,1854,0,1,1,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,0.87,0.87,NA,0.91,0.48,NA,NA
528,Original_Schelling,70,90,0,80,0,105,1832,0,1,1,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,0.85,0.85,NA,0.89,0.46,NA,NA
529,Original_Schelling,70,90,0,80,0,109,1811,0,1,1,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,0.87,0.87,NA,0.91,0.5,NA,NA
530,Original_Schelling,70,90,0,80,0,167,1820,0,1,1,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,0.86,0.86,NA,0.9,0.46,NA,NA
531,Original_Schelling,70,90,0,90,0,1000,1828,804,0.83,0.83,NA,0.91,NA,0.14,NA,1,1,NA,1,NA,1,NA,0.75,0.75,NA,0.76,0.61,NA,NA
532,Original_Schelling,70,90,0,90,0,1000,1840,650,0.86,0.86,NA,0.93,NA,0.18,NA,1,1,NA,1,NA,1,NA,0.75,0.75,NA,0.76,0.61,NA,NA
533,Original_Schelling,70,90,0,90,0,1000,1805,798,0.83,0.83,NA,0.91,NA,0.15,NA,1,1,NA,1,NA,1,NA,0.74,0.74,NA,0.75,0.63,NA,NA
534,Original_Schelling,70,90,0,90,0,1000,1801,666,0.86,0.86,NA,0.93,NA,0.15,NA,1,1,NA,1,NA,1,NA,0.74,0.74,NA,0.75,0.57,NA,NA
535,Original_Schelling,70,90,0,90,0,1000,1820,766,0.84,0.84,NA,0.91,NA,0.16,NA,1,1,NA,1,NA,1,NA,0.74,0.74,NA,0.75,0.61,NA,NA
536,Original_Schelling,70,90,0,90,0,1000,1808,787,0.83,0.83,NA,0.91,NA,0.18,NA,1,1,NA,1,NA,1,NA,0.74,0.74,NA,0.75,0.63,NA,NA
537,Original_Schelling,70,90,0,90,0,1000,1841,812,0.83,0.83,NA,0.91,NA,0.15,NA,1,1,NA,1,NA,1,NA,0.74,0.74,NA,0.76,0.61,NA,NA
538,Original_Schelling,70,90,0,90,0,1000,1840,711,0.85,0.85,NA,0.92,NA,0.15,NA,1,1,NA,1,NA,1,NA,0.75,0.75,NA,0.77,0.59,NA,NA
539,Original_Schelling,70,90,0,90,0,1000,1780,756,0.85,0.85,NA,0.92,NA,0.14,NA,1,1,NA,1,NA,1,NA,0.73,0.73,NA,0.74,0.6,NA,NA
540,Original_Schelling,70,90,0,90,0,1000,1829,800,0.83,0.83,NA,0.91,NA,0.15,NA,1,1,NA,1,NA,1,NA,0.74,0.74,NA,0.76,0.63,NA,NA
541,Original_Schelling,70,90,0,100,0,1000,1854,826,0.83,0.83,NA,0.91,NA,0.12,NA,1,1,NA,1,NA,1,NA,0.74,0.74,NA,0.76,0.61,NA,NA
542,Original_Schelling,70,90,0,100,0,1000,1819,871,0.81,0.81,NA,0.9,NA,0.14,NA,1,1,NA,1,NA,1,NA,0.74,0.74,NA,0.75,0.62,NA,NA
543,Original_Schelling,70,90,0,100,0,1000,1782,808,0.82,0.82,NA,0.9,NA,0.16,NA,1,1,NA,1,NA,1,NA,0.73,0.73,NA,0.74,0.6,NA,NA
544,Original_Schelling,70,90,0,100,0,1000,1804,798,0.83,0.83,NA,0.91,NA,0.15,NA,1,1,NA,1,NA,1,NA,0.74,0.74,NA,0.75,0.62,NA,NA
545,Original_Schelling,70,90,0,100,0,1000,1831,798,0.84,0.84,NA,0.91,NA,0.12,NA,1,1,NA,1,NA,1,NA,0.75,0.75,NA,0.76,0.63,NA,NA
546,Original_Schelling,70,90,0,100,0,1000,1820,746,0.84,0.84,NA,0.91,NA,0.15,NA,1,1,NA,1,NA,1,NA,0.74,0.74,NA,0.75,0.61,NA,NA
547,Original_Schelling,70,90,0,100,0,1000,1816,773,0.84,0.84,NA,0.91,NA,0.13,NA,1,1,NA,1,NA,1,NA,0.73,0.73,NA,0.75,0.59,NA,NA
548,Original_Schelling,70,90,0,100,0,1000,1839,801,0.83,0.83,NA,0.91,NA,0.18,NA,1,1,NA,1,NA,1,NA,0.74,0.74,NA,0.75,0.64,NA,NA
549,Original_Schelling,70,90,0,100,0,1000,1847,799,0.84,0.84,NA,0.92,NA,0.15,NA,1,1,NA,1,NA,1,NA,0.75,0.75,NA,0.76,0.61,NA,NA
550,Original_Schelling,70,90,0,100,0,1000,1813,788,0.83,0.83,NA,0.91,NA,0.17,NA,1,1,NA,1,NA,1,NA,0.74,0.74,NA,0.75,0.63,NA,NA
